#ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2,,,
#Wvlgth nm,Etr W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1
nm,space,global,direct
1337,3.83E-01,1.65E-01,1.59E-01
1338,3.81E-01,1.78E-01,1.72E-01
1339,3.76E-01,1.77E-01,1.70E-01
1340,3.74E-01,1.68E-01,1.62E-01
1341,3.82E-01,1.70E-01,1.64E-01
1342,3.80E-01,1.78E-01,1.71E-01
1343,3.80E-01,1.27E-01,1.23E-01
1344,3.80E-01,7.56E-02,7.30E-02
1345,3.80E-01,1.09E-01,1.05E-01
1346,3.76E-01,5.82E-02,5.62E-02
1347,3.78E-01,6.01E-02,5.81E-02
1348,3.77E-01,4.75E-03,4.59E-03
1349,3.76E-01,1.62E-02,1.56E-02
1350,3.71E-01,1.60E-02,1.55E-02
1351,3.72E-01,4.63E-03,4.48E-03
1352,3.75E-01,1.52E-03,1.47E-03
1353,3.74E-01,9.61E-05,9.29E-05
1354,3.73E-01,2.90E-04,2.81E-04
1355,3.68E-01,3.60E-06,3.48E-06
1356,3.69E-01,4.81E-05,4.65E-05
1357,3.64E-01,7.18E-05,6.94E-05
1358,3.70E-01,4.19E-06,4.06E-06
1359,3.69E-01,7.34E-07,7.10E-07
1360,3.65E-01,2.14E-06,2.07E-06
1361,3.70E-01,4.81E-09,4.66E-09
1362,3.69E-01,1.81E-11,1.75E-11
1363,3.62E-01,3.16E-06,3.05E-06
1364,3.67E-01,1.36E-06,1.32E-06
1365,3.66E-01,9.08E-12,8.78E-12
1366,3.66E-01,1.28E-05,1.24E-05
1367,3.62E-01,4.98E-06,4.82E-06
1368,3.66E-01,1.48E-13,1.43E-13
1369,3.59E-01,5.17E-07,5.00E-07
1370,3.59E-01,2.92E-07,2.83E-07
1371,3.59E-01,1.97E-08,1.91E-08
1372,3.63E-01,2.75E-06,2.66E-06
1373,3.63E-01,4.44E-05,4.30E-05
1374,3.63E-01,1.79E-04,1.74E-04
1375,3.57E-01,3.23E-04,3.13E-04
1376,3.54E-01,2.57E-04,2.49E-04
1377,3.58E-01,1.23E-04,1.19E-04
1378,3.57E-01,1.11E-03,1.07E-03
1379,3.60E-01,5.22E-05,5.05E-05
1380,3.57E-01,8.16E-05,7.90E-05
1381,3.58E-01,2.37E-06,2.30E-06
1382,3.53E-01,2.57E-06,2.49E-06
1383,3.54E-01,4.40E-08,4.27E-08
1384,3.56E-01,6.17E-07,5.98E-07
1385,3.52E-01,2.09E-06,2.03E-06
1386,3.55E-01,2.52E-06,2.44E-06
1387,3.51E-01,1.99E-04,1.93E-04
1388,3.53E-01,4.03E-06,3.90E-06
1389,3.54E-01,5.81E-04,5.63E-04
1390,3.47E-01,4.93E-04,4.78E-04
1391,3.52E-01,3.44E-04,3.33E-04
1392,3.52E-01,2.38E-05,2.31E-05
1393,3.50E-01,1.16E-04,1.12E-04
1394,3.48E-01,7.55E-05,7.33E-05
1395,3.48E-01,6.71E-07,6.51E-07
1396,3.49E-01,6.32E-09,6.13E-09
1397,3.49E-01,4.91E-05,4.76E-05
1398,3.50E-01,1.27E-03,1.23E-03
1399,3.49E-01,8.12E-04,7.88E-04
1400,3.39E-01,3.25E-09,3.15E-09
1401,3.39E-01,1.05E-08,1.02E-08
1402,3.44E-01,1.84E-03,1.78E-03
1403,3.40E-01,2.38E-03,2.31E-03
1404,3.41E-01,7.39E-04,7.18E-04
1405,3.40E-01,3.64E-07,3.54E-07
1406,3.42E-01,2.04E-03,1.99E-03
1407,3.41E-01,1.75E-04,1.70E-04
1408,3.40E-01,1.65E-03,1.60E-03
1409,3.41E-01,6.19E-04,6.02E-04
1410,3.40E-01,4.67E-04,4.53E-04
1411,3.38E-01,2.11E-03,2.05E-03
1412,3.29E-01,2.64E-03,2.57E-03
1413,3.33E-01,2.34E-02,2.27E-02
1414,3.37E-01,3.64E-04,3.54E-04
1415,3.37E-01,1.84E-04,1.79E-04
1416,3.35E-01,3.56E-02,3.46E-02
1417,3.37E-01,1.18E-02,1.14E-02
1418,3.38E-01,1.36E-02,1.32E-02
1419,3.34E-01,2.14E-03,2.09E-03
1420,3.33E-01,8.27E-03,8.04E-03
1421,3.36E-01,9.16E-03,8.91E-03
1422,3.29E-01,4.63E-02,4.50E-02
1423,3.29E-01,9.22E-03,8.97E-03
1424,3.28E-01,1.70E-02,1.65E-02
1425,3.33E-01,2.59E-02,2.51E-02
1426,3.23E-01,2.78E-02,2.70E-02
1427,3.27E-01,4.95E-02,4.82E-02
1428,3.30E-01,4.56E-03,4.44E-03
1429,3.23E-01,3.80E-02,3.70E-02
1430,3.23E-01,6.16E-02,5.99E-02
1431,3.24E-01,5.02E-02,4.88E-02
1432,3.31E-01,2.52E-03,2.45E-03
1433,3.31E-01,3.58E-02,3.49E-02
1434,3.25E-01,2.10E-02,2.04E-02
1435,3.27E-01,2.14E-02,2.08E-02
1436,3.27E-01,3.84E-02,3.73E-02
1437,3.28E-01,2.99E-02,2.91E-02
1438,3.26E-01,1.33E-02,1.29E-02
1439,3.29E-01,5.10E-02,4.97E-02
1440,3.13E-01,3.96E-02,3.85E-02
1441,3.17E-01,3.18E-02,3.10E-02
1442,3.16E-01,3.63E-02,3.54E-02
1443,3.18E-01,4.51E-02,4.39E-02
1444,3.19E-01,6.18E-02,6.01E-02
1445,3.19E-01,4.98E-02,4.84E-02
1446,3.21E-01,2.31E-02,2.25E-02
1447,3.18E-01,3.62E-02,3.53E-02
1448,3.21E-01,1.16E-01,1.13E-01
1449,3.20E-01,1.02E-01,9.94E-02
1450,3.18E-01,2.74E-02,2.67E-02
1451,3.14E-01,1.13E-02,1.10E-02
1452,3.14E-01,6.24E-02,6.07E-02
1453,3.15E-01,8.20E-02,7.98E-02
1454,3.13E-01,1.38E-01,1.34E-01
1455,3.12E-01,6.62E-02,6.44E-02
1456,3.10E-01,8.85E-02,8.62E-02
1457,3.12E-01,1.17E-01,1.14E-01
1458,3.16E-01,1.36E-01,1.33E-01
1459,3.17E-01,1.63E-01,1.59E-01
1460,3.14E-01,8.54E-02,8.32E-02
1461,3.13E-01,9.03E-02,8.79E-02
1462,3.10E-01,1.31E-01,1.27E-01
1463,3.08E-01,4.32E-02,4.21E-02
1464,3.08E-01,1.52E-01,1.48E-01
1465,3.12E-01,9.34E-02,9.09E-02
1466,3.07E-01,6.52E-02,6.35E-02
1467,3.13E-01,3.61E-02,3.51E-02
1468,3.08E-01,7.69E-02,7.49E-02
1469,3.12E-01,9.48E-02,9.23E-02
1470,3.10E-01,4.97E-02,4.84E-02
1471,3.04E-01,1.78E-02,1.74E-02
1472,3.06E-01,4.68E-02,4.56E-02
1473,3.06E-01,7.02E-02,6.84E-02
1474,2.97E-01,9.73E-02,9.48E-02
1475,3.03E-01,1.85E-01,1.80E-01
1476,3.04E-01,6.88E-02,6.70E-02
1477,3.03E-01,6.97E-02,6.79E-02
1478,3.02E-01,6.35E-02,6.18E-02
1479,3.05E-01,1.20E-01,1.17E-01
1480,3.06E-01,6.06E-02,5.91E-02
1481,3.02E-01,1.15E-01,1.12E-01
1482,3.05E-01,5.85E-02,5.70E-02
1483,2.98E-01,1.49E-01,1.45E-01
1484,3.02E-01,1.37E-01,1.34E-01
1485,3.06E-01,1.25E-01,1.22E-01
1486,3.02E-01,1.23E-01,1.20E-01
1487,3.00E-01,6.06E-02,5.90E-02
1488,2.65E-01,9.42E-02,9.17E-02
1489,2.99E-01,1.90E-01,1.84E-01
1490,3.01E-01,1.75E-01,1.70E-01
1491,3.02E-01,1.98E-01,1.92E-01
1492,2.98E-01,1.64E-01,1.60E-01
1493,3.02E-01,1.82E-01,1.77E-01
1494,3.02E-01,2.04E-01,1.98E-01
1495,3.01E-01,1.83E-01,1.77E-01
1496,2.91E-01,1.69E-01,1.64E-01
1497,2.97E-01,2.29E-01,2.22E-01
1498,2.99E-01,1.90E-01,1.84E-01
1499,2.95E-01,2.18E-01,2.11E-01
1500,3.01E-01,2.51E-01,2.43E-01
1501,3.00E-01,2.66E-01,2.58E-01
1502,2.97E-01,2.34E-01,2.27E-01
1503,2.69E-01,1.85E-01,1.80E-01
1504,2.83E-01,1.60E-01,1.56E-01
1505,2.71E-01,1.84E-01,1.79E-01
1506,2.84E-01,2.58E-01,2.50E-01
1507,2.94E-01,2.55E-01,2.48E-01
1508,2.90E-01,2.43E-01,2.36E-01
1509,2.88E-01,1.87E-01,1.82E-01
1510,2.94E-01,2.71E-01,2.63E-01
1511,2.94E-01,2.65E-01,2.57E-01
1512,2.88E-01,2.61E-01,2.53E-01
1513,2.87E-01,2.42E-01,2.35E-01
1514,2.85E-01,2.26E-01,2.19E-01
1515,2.88E-01,2.66E-01,2.58E-01
1516,2.87E-01,2.57E-01,2.49E-01
1517,2.85E-01,2.49E-01,2.42E-01
1518,2.90E-01,2.52E-01,2.45E-01
1519,2.85E-01,2.44E-01,2.37E-01
1520,2.88E-01,2.65E-01,2.57E-01
1521,2.81E-01,2.75E-01,2.67E-01
1522,2.80E-01,2.64E-01,2.56E-01
1523,2.84E-01,2.80E-01,2.72E-01
1524,2.85E-01,2.75E-01,2.67E-01
1525,2.78E-01,2.59E-01,2.51E-01
1526,2.86E-01,2.67E-01,2.60E-01
1527,2.83E-01,2.62E-01,2.55E-01
1528,2.85E-01,2.79E-01,2.71E-01
1529,2.83E-01,2.72E-01,2.65E-01
1530,2.67E-01,2.55E-01,2.48E-01
1531,2.83E-01,2.70E-01,2.62E-01
1532,2.83E-01,2.78E-01,2.70E-01
1533,2.80E-01,2.77E-01,2.69E-01
1534,2.75E-01,2.69E-01,2.61E-01
1535,2.78E-01,2.67E-01,2.59E-01
1536,2.81E-01,2.75E-01,2.67E-01
1537,2.81E-01,2.73E-01,2.66E-01
1538,2.73E-01,2.72E-01,2.64E-01
1539,2.78E-01,2.73E-01,2.65E-01
1540,2.69E-01,2.65E-01,2.57E-01
1541,2.73E-01,2.69E-01,2.61E-01
1542,2.75E-01,2.69E-01,2.62E-01
1543,2.75E-01,2.72E-01,2.64E-01
1544,2.77E-01,2.72E-01,2.64E-01
1545,2.78E-01,2.77E-01,2.69E-01
1546,2.77E-01,2.75E-01,2.67E-01
1547,2.74E-01,2.73E-01,2.65E-01
1548,2.67E-01,2.67E-01,2.59E-01
1549,2.73E-01,2.73E-01,2.66E-01
1550,2.70E-01,2.70E-01,2.62E-01
1551,2.71E-01,2.71E-01,2.63E-01
1552,2.74E-01,2.72E-01,2.64E-01
1553,2.71E-01,2.71E-01,2.64E-01
1554,2.65E-01,2.65E-01,2.57E-01
1555,2.67E-01,2.68E-01,2.60E-01
1556,2.63E-01,2.63E-01,2.56E-01
1557,2.70E-01,2.71E-01,2.63E-01
1558,2.68E-01,2.68E-01,2.61E-01
1559,2.68E-01,2.68E-01,2.61E-01
1560,2.65E-01,2.66E-01,2.58E-01
1561,2.70E-01,2.70E-01,2.62E-01
1562,2.68E-01,2.68E-01,2.60E-01
1563,2.67E-01,2.67E-01,2.59E-01
1564,2.63E-01,2.63E-01,2.55E-01
1565,2.67E-01,2.67E-01,2.60E-01
1566,2.63E-01,2.62E-01,2.55E-01
1567,2.64E-01,2.63E-01,2.56E-01
1568,2.60E-01,2.57E-01,2.50E-01
1569,2.63E-01,2.55E-01,2.47E-01
1570,2.61E-01,2.42E-01,2.35E-01
1571,2.67E-01,2.35E-01,2.29E-01
1572,2.67E-01,2.38E-01,2.31E-01
1573,2.63E-01,2.34E-01,2.28E-01
1574,2.62E-01,2.41E-01,2.35E-01
1575,2.47E-01,2.40E-01,2.33E-01
1576,2.60E-01,2.47E-01,2.40E-01
1577,2.37E-01,2.16E-01,2.10E-01
1578,2.57E-01,2.35E-01,2.29E-01
1579,2.62E-01,2.37E-01,2.30E-01
1580,2.64E-01,2.45E-01,2.38E-01
1581,2.65E-01,2.49E-01,2.42E-01
1582,2.54E-01,2.42E-01,2.35E-01
1583,2.58E-01,2.48E-01,2.41E-01
1584,2.54E-01,2.49E-01,2.42E-01
1585,2.62E-01,2.59E-01,2.51E-01
1586,2.58E-01,2.56E-01,2.48E-01
1587,2.55E-01,2.53E-01,2.46E-01
1588,2.50E-01,2.51E-01,2.44E-01
1589,2.32E-01,2.32E-01,2.26E-01
1590,2.42E-01,2.42E-01,2.35E-01
1591,2.41E-01,2.42E-01,2.35E-01
1592,2.53E-01,2.52E-01,2.45E-01
1593,2.58E-01,2.58E-01,2.51E-01
1594,2.56E-01,2.56E-01,2.49E-01
1595,2.58E-01,2.58E-01,2.51E-01
1596,2.45E-01,2.45E-01,2.38E-01
1597,2.49E-01,2.47E-01,2.40E-01
1598,2.56E-01,2.54E-01,2.47E-01
1599,2.50E-01,2.42E-01,2.35E-01
1600,2.53E-01,2.38E-01,2.31E-01
1601,2.45E-01,2.23E-01,2.17E-01
1602,2.49E-01,2.24E-01,2.18E-01
1603,2.49E-01,2.24E-01,2.18E-01
1604,2.50E-01,2.28E-01,2.22E-01
1605,2.47E-01,2.37E-01,2.30E-01
1606,2.47E-01,2.41E-01,2.35E-01
1607,2.45E-01,2.33E-01,2.26E-01
1608,2.50E-01,2.30E-01,2.23E-01
1609,2.49E-01,2.27E-01,2.21E-01
1610,2.33E-01,2.18E-01,2.11E-01
1611,2.41E-01,2.27E-01,2.20E-01
1612,2.41E-01,2.31E-01,2.24E-01
1613,2.46E-01,2.37E-01,2.30E-01
1614,2.44E-01,2.38E-01,2.32E-01
1615,2.44E-01,2.41E-01,2.34E-01
1616,2.32E-01,2.31E-01,2.24E-01
1617,2.36E-01,2.35E-01,2.28E-01
1618,2.44E-01,2.44E-01,2.37E-01
1619,2.42E-01,2.41E-01,2.34E-01
1620,2.34E-01,2.34E-01,2.28E-01
1621,2.34E-01,2.34E-01,2.28E-01
1622,2.37E-01,2.38E-01,2.31E-01
1623,2.42E-01,2.42E-01,2.36E-01
1624,2.42E-01,2.43E-01,2.36E-01
1625,2.37E-01,2.38E-01,2.31E-01
1626,2.40E-01,2.40E-01,2.33E-01
1627,2.40E-01,2.41E-01,2.34E-01
1628,2.41E-01,2.41E-01,2.34E-01
1629,2.41E-01,2.41E-01,2.35E-01
1630,2.37E-01,2.37E-01,2.30E-01
1631,2.39E-01,2.38E-01,2.31E-01
1632,2.39E-01,2.38E-01,2.32E-01
1633,2.36E-01,2.33E-01,2.26E-01
1634,2.33E-01,2.33E-01,2.26E-01
1635,2.37E-01,2.34E-01,2.27E-01
1636,2.37E-01,2.35E-01,2.29E-01
1637,2.27E-01,2.27E-01,2.21E-01
1638,2.27E-01,2.20E-01,2.14E-01
1639,2.22E-01,2.20E-01,2.14E-01
1640,2.26E-01,2.15E-01,2.09E-01
1641,2.24E-01,2.20E-01,2.13E-01
1642,2.24E-01,2.21E-01,2.15E-01
1643,2.29E-01,2.15E-01,2.09E-01
1644,2.26E-01,2.24E-01,2.17E-01
1645,2.25E-01,2.18E-01,2.12E-01
1646,2.29E-01,2.17E-01,2.11E-01
1647,2.29E-01,2.28E-01,2.21E-01
1648,2.29E-01,2.17E-01,2.11E-01
1649,2.24E-01,2.19E-01,2.13E-01
1650,2.28E-01,2.25E-01,2.19E-01
1651,2.24E-01,2.09E-01,2.03E-01
1652,2.28E-01,2.24E-01,2.18E-01
1653,2.25E-01,2.23E-01,2.17E-01
1654,2.27E-01,2.16E-01,2.10E-01
1655,2.24E-01,2.22E-01,2.16E-01
1656,2.26E-01,2.21E-01,2.15E-01
1657,2.26E-01,2.22E-01,2.16E-01
1658,2.25E-01,2.25E-01,2.19E-01
1659,2.22E-01,2.21E-01,2.15E-01
1660,2.24E-01,2.23E-01,2.17E-01
1661,2.25E-01,2.24E-01,2.18E-01
1662,2.24E-01,2.19E-01,2.13E-01
1663,2.23E-01,2.22E-01,2.16E-01
1664,2.23E-01,2.21E-01,2.15E-01
1665,2.21E-01,2.12E-01,2.06E-01
1666,2.19E-01,1.79E-01,1.74E-01
1667,2.20E-01,2.11E-01,2.05E-01
1668,2.16E-01,2.15E-01,2.09E-01
1669,2.18E-01,2.15E-01,2.09E-01
1670,2.22E-01,2.22E-01,2.16E-01
1671,2.21E-01,2.19E-01,2.13E-01
1672,2.12E-01,2.11E-01,2.06E-01
1673,2.16E-01,2.16E-01,2.11E-01
1674,2.19E-01,2.16E-01,2.10E-01
1675,2.16E-01,2.14E-01,2.08E-01
1676,2.13E-01,2.11E-01,2.06E-01
1677,2.15E-01,2.12E-01,2.07E-01
1678,2.16E-01,2.09E-01,2.04E-01
1679,2.13E-01,2.13E-01,2.07E-01
1680,2.06E-01,2.06E-01,2.00E-01
1681,1.98E-01,1.94E-01,1.89E-01
1682,2.03E-01,2.04E-01,1.98E-01
1683,2.09E-01,2.09E-01,2.04E-01
1684,2.12E-01,1.98E-01,1.93E-01
1685,2.13E-01,2.13E-01,2.08E-01
1686,2.10E-01,2.10E-01,2.05E-01
1687,2.11E-01,2.05E-01,2.00E-01
1688,2.11E-01,2.10E-01,2.05E-01
1689,2.08E-01,2.07E-01,2.02E-01
1690,2.08E-01,2.05E-01,2.00E-01
1691,2.12E-01,1.93E-01,1.88E-01
1692,2.12E-01,2.07E-01,2.02E-01
1693,2.11E-01,2.11E-01,2.06E-01
1694,2.11E-01,2.05E-01,2.00E-01
1695,2.11E-01,2.10E-01,2.04E-01
1696,2.10E-01,2.09E-01,2.04E-01
1697,2.09E-01,1.81E-01,1.76E-01
1698,2.09E-01,2.07E-01,2.02E-01
1699,2.08E-01,2.06E-01,2.00E-01
1700,2.05E-01,2.00E-01,1.95E-01
1702,2.05E-01,2.04E-01,1.99E-01
1705,2.04E-01,1.98E-01,1.93E-01
1710,1.99E-01,1.88E-01,1.83E-01
1715,2.02E-01,1.90E-01,1.85E-01
1720,1.98E-01,1.87E-01,1.82E-01
1725,1.97E-01,1.78E-01,1.74E-01
1730,1.93E-01,1.74E-01,1.70E-01
1735,1.82E-01,1.62E-01,1.58E-01
1740,1.90E-01,1.68E-01,1.64E-01
1745,1.86E-01,1.55E-01,1.51E-01
1750,1.85E-01,1.66E-01,1.62E-01
1755,1.85E-01,1.53E-01,1.49E-01
1760,1.82E-01,1.60E-01,1.56E-01
1765,1.81E-01,1.33E-01,1.30E-01
1770,1.80E-01,1.42E-01,1.38E-01
1775,1.76E-01,1.15E-01,1.12E-01
1780,1.76E-01,1.01E-01,9.81E-02
1785,1.74E-01,7.70E-02,7.52E-02
1790,1.74E-01,8.89E-02,8.68E-02
1795,1.71E-01,4.69E-02,4.59E-02
1800,1.68E-01,3.18E-02,3.11E-02
1805,1.69E-01,1.48E-02,1.45E-02
1810,1.69E-01,9.69E-03,9.48E-03
1815,1.55E-01,3.28E-03,3.21E-03
1820,1.60E-01,9.88E-04,9.66E-04
1825,1.63E-01,1.27E-03,1.25E-03
1830,1.59E-01,5.20E-06,5.09E-06
1835,1.58E-01,6.42E-06,6.28E-06
1840,1.56E-01,6.27E-08,6.13E-08
1845,1.53E-01,6.27E-06,6.13E-06
1850,1.53E-01,3.00E-06,2.93E-06
1855,1.51E-01,2.84E-07,2.78E-07
1860,1.49E-01,1.12E-05,1.09E-05
1865,1.47E-01,1.70E-05,1.66E-05
1870,1.46E-01,2.67E-10,2.61E-10
1875,1.32E-01,4.51E-10,4.43E-10
1880,1.47E-01,7.75E-05,7.61E-05
1885,1.46E-01,4.39E-05,4.31E-05
1890,1.40E-01,2.23E-04,2.20E-04
1895,1.38E-01,1.29E-04,1.27E-04
1900,1.40E-01,8.62E-07,8.49E-07
1905,1.39E-01,5.67E-07,5.58E-07
1910,1.37E-01,2.30E-05,2.27E-05
1915,1.36E-01,1.99E-05,1.97E-05
1920,1.35E-01,4.51E-04,4.45E-04
1925,1.34E-01,9.36E-04,9.23E-04
1930,1.31E-01,5.52E-04,5.45E-04
1935,1.32E-01,3.59E-03,3.54E-03
1940,1.30E-01,3.28E-03,3.24E-03
1945,1.20E-01,1.09E-02,1.07E-02
1950,1.26E-01,1.67E-02,1.65E-02
1955,1.28E-01,1.00E-02,9.89E-03
1960,1.26E-01,2.19E-02,2.16E-02
1965,1.23E-01,2.86E-02,2.81E-02
1970,1.24E-01,4.88E-02,4.81E-02
1975,1.22E-01,6.79E-02,6.67E-02
1980,1.20E-01,7.55E-02,7.42E-02
1985,1.19E-01,8.31E-02,8.16E-02
1990,1.20E-01,8.56E-02,8.41E-02
1995,1.17E-01,8.12E-02,7.98E-02
2000,1.17E-01,3.82E-02,3.75E-02
2005,1.15E-01,1.50E-02,1.47E-02
2010,1.15E-01,3.97E-02,3.91E-02
2015,1.14E-01,2.66E-02,2.62E-02
2020,1.12E-01,4.50E-02,4.42E-02
2025,1.12E-01,7.40E-02,7.28E-02
2030,1.10E-01,8.49E-02,8.35E-02
2035,1.09E-01,9.64E-02,9.48E-02
2040,1.07E-01,8.98E-02,8.83E-02
2045,1.08E-01,9.11E-02,8.96E-02
2050,1.06E-01,6.79E-02,6.69E-02
2055,1.05E-01,5.49E-02,5.41E-02
2060,1.03E-01,6.92E-02,6.82E-02
2065,1.02E-01,6.19E-02,6.10E-02
2070,1.01E-01,6.57E-02,6.47E-02
2075,1.01E-01,7.74E-02,7.63E-02
2080,9.93E-02,8.68E-02,8.55E-02
2085,9.83E-02,8.51E-02,8.38E-02
2090,9.75E-02,8.91E-02,8.78E-02
2095,9.60E-02,8.97E-02,8.84E-02
2100,9.62E-02,8.61E-02,8.49E-02
2105,9.58E-02,9.32E-02,9.18E-02
2110,9.46E-02,8.97E-02,8.83E-02
2115,9.39E-02,9.17E-02,9.03E-02
2120,9.31E-02,8.76E-02,8.63E-02
2125,9.22E-02,8.86E-02,8.73E-02
2130,9.24E-02,8.98E-02,8.84E-02
2135,9.11E-02,9.00E-02,8.87E-02
2140,9.11E-02,9.08E-02,8.94E-02
2145,8.99E-02,8.95E-02,8.81E-02
2150,8.97E-02,8.46E-02,8.34E-02
2155,8.89E-02,8.48E-02,8.36E-02
2160,8.79E-02,8.42E-02,8.29E-02
2165,8.20E-02,7.63E-02,7.52E-02
2170,8.54E-02,8.20E-02,8.08E-02
2175,8.58E-02,8.04E-02,7.93E-02
2180,8.46E-02,8.18E-02,8.06E-02
2185,8.47E-02,7.46E-02,7.35E-02
2190,8.31E-02,7.91E-02,7.79E-02
2195,8.35E-02,7.90E-02,7.78E-02
2200,8.28E-02,7.12E-02,7.02E-02
2205,8.09E-02,7.40E-02,7.29E-02
2210,8.08E-02,7.93E-02,7.82E-02
2215,8.04E-02,7.63E-02,7.52E-02
2220,8.00E-02,7.77E-02,7.66E-02
2225,7.88E-02,7.55E-02,7.44E-02
2230,7.84E-02,7.58E-02,7.47E-02
2235,7.79E-02,7.43E-02,7.33E-02
2240,7.65E-02,7.31E-02,7.21E-02
2245,7.63E-02,7.08E-02,6.99E-02
2250,7.54E-02,7.19E-02,7.10E-02
2255,7.43E-02,6.77E-02,6.69E-02
2260,7.41E-02,6.69E-02,6.61E-02
2265,7.33E-02,6.81E-02,6.74E-02
2270,7.31E-02,6.49E-02,6.41E-02
2275,7.26E-02,6.40E-02,6.33E-02
2280,7.14E-02,6.63E-02,6.56E-02
2285,7.14E-02,6.31E-02,6.24E-02
2290,7.12E-02,6.32E-02,6.25E-02
2295,6.93E-02,6.13E-02,6.06E-02
2300,6.96E-02,5.88E-02,5.82E-02
2305,6.94E-02,5.92E-02,5.85E-02
2310,6.89E-02,6.39E-02,6.32E-02
2315,6.82E-02,5.81E-02,5.75E-02
2320,6.76E-02,5.20E-02,5.15E-02
2325,6.56E-02,5.62E-02,5.56E-02
2330,6.62E-02,5.68E-02,5.62E-02
2335,6.57E-02,5.80E-02,5.74E-02
2340,6.52E-02,4.58E-02,4.54E-02
2345,6.51E-02,5.14E-02,5.09E-02
2350,6.43E-02,4.15E-02,4.11E-02
2355,6.26E-02,4.75E-02,4.70E-02
2360,6.31E-02,5.02E-02,4.97E-02
2365,6.30E-02,4.94E-02,4.89E-02
2370,6.24E-02,3.08E-02,3.05E-02
2375,6.14E-02,4.41E-02,4.37E-02
2380,6.18E-02,4.26E-02,4.21E-02
2385,5.91E-02,3.08E-02,3.05E-02
2390,6.04E-02,3.71E-02,3.67E-02
2395,6.01E-02,4.06E-02,4.02E-02
2400,5.97E-02,4.42E-02,4.37E-02
2405,5.94E-02,3.36E-02,3.33E-02
2410,5.92E-02,3.38E-02,3.35E-02
2415,5.70E-02,2.73E-02,2.71E-02
2420,5.78E-02,2.66E-02,2.64E-02
2425,5.73E-02,3.31E-02,3.28E-02
2430,5.72E-02,4.51E-02,4.47E-02
2435,5.65E-02,1.49E-02,1.48E-02
2440,5.63E-02,4.32E-02,4.29E-02
2445,5.56E-02,2.08E-02,2.07E-02
2450,5.46E-02,1.36E-02,1.35E-02
2455,5.42E-02,2.49E-02,2.47E-02
2460,5.45E-02,3.34E-02,3.32E-02
2465,5.43E-02,2.41E-02,2.40E-02
2470,5.34E-02,1.67E-02,1.66E-02
2475,5.34E-02,1.65E-02,1.64E-02
2480,5.21E-02,8.04E-03,8.00E-03
2485,5.18E-02,5.61E-03,5.58E-03
2490,5.22E-02,3.51E-03,3.50E-03
2495,4.89E-02,2.88E-03,2.86E-03
2500,5.14E-02,7.06E-03,7.03E-03
2505,5.08E-02,1.52E-03,1.51E-03
2510,4.96E-02,2.22E-03,2.21E-03
2515,4.88E-02,5.19E-04,5.16E-04
2520,4.81E-02,3.71E-04,3.69E-04
2525,4.77E-02,4.14E-05,4.12E-05
2530,4.77E-02,6.36E-07,6.33E-07
2535,4.71E-02,1.75E-07,1.74E-07
2540,4.68E-02,3.77E-07,3.75E-07
2545,4.66E-02,5.38E-11,5.35E-11
2550,4.63E-02,2.82E-13,2.81E-13
2555,4.59E-02,1.04E-09,1.04E-09
2560,4.54E-02,3.10E-11,3.08E-11
2565,4.52E-02,1.60E-14,1.58E-14
2570,4.49E-02,1.53E-18,1.52E-18
2575,4.45E-02,1.08E-27,1.07E-27
2580,4.41E-02,3.82E-22,3.79E-22
2585,4.33E-02,1.72E-34,1.71E-34
2590,4.34E-02,5.48E-31,5.44E-31
2595,4.30E-02,2.28E-33,2.27E-33
2600,4.29E-02,4.49E-28,4.46E-28
2605,4.28E-02,5.81E-35,5.76E-35
2610,4.25E-02,5.94E-34,5.90E-34
2615,4.23E-02,1.12E-37,1.11E-37
2620,4.19E-02,5.65E-29,5.61E-29
2625,4.06E-02,3.87E-28,3.84E-28
2630,4.12E-02,2.80E-45,2.80E-45
2635,4.10E-02,3.90E-16,3.87E-16
2640,4.02E-02,1.18E-16,1.17E-16
2645,4.02E-02,9.00E-19,8.93E-19
2650,4.00E-02,1.43E-19,1.42E-19
2655,3.96E-02,1.31E-27,1.30E-27
2660,3.95E-02,2.61E-25,2.59E-25
2665,3.90E-02,1.11E-37,1.10E-37
2670,3.91E-02,0.00E+00,0.00E+00
2675,3.86E-02,0.00E+00,0.00E+00
2680,3.84E-02,0.00E+00,0.00E+00
2685,3.82E-02,0.00E+00,0.00E+00
2690,3.78E-02,1.02E-29,1.02E-29
2695,3.75E-02,7.13E-33,7.10E-33
2700,3.71E-02,0.00E+00,0.00E+00
2705,3.69E-02,2.93E-42,2.93E-42
2710,3.67E-02,1.13E-35,1.12E-35
2715,3.66E-02,3.86E-26,3.85E-26
2720,3.64E-02,5.61E-45,5.61E-45
2725,3.61E-02,7.29E-22,7.31E-22
2730,3.60E-02,6.07E-19,6.09E-19
2735,3.57E-02,5.49E-21,5.51E-21
2740,3.55E-02,2.33E-27,2.34E-27
2745,3.54E-02,1.31E-23,1.32E-23
2750,3.52E-02,1.66E-28,1.68E-28
2755,3.49E-02,6.73E-44,6.73E-44
2760,3.46E-02,0.00E+00,0.00E+00
2765,3.44E-02,2.68E-27,2.70E-27
